129.4042_0A 20070303T231200 20070304T061200  7.69  0.57     289      46      -1      -5      93       0    NULL
130.5708_0A 20070305T021200 20070305T221200 15.12  0.79      80      28     214       5      48       1    NULL
141.5292_0A 20070316T044200 20070316T134200 11.50 -1.34      71      13     227      11      58       3    NULL
143.5500_0A 20070318T041200 20070319T021200 10.05  1.18     281      31      13       0     -77      -1    NULL
144.8417_0A 20070319T084200 20070319T114200  9.49  0.14      74      10     141     -39      14       1    NULL
146.1125_0A 20070320T154200 20070320T194200  8.78  0.18     242      12      84     -40      50     -23    NULL
146.6125_0A 20070321T051200 20070321T181200 10.10  1.75      78      32      99       1     112       1    NULL
148.0500_0A 20070322T171200 20070323T124200 10.46  1.56      72      26      80       0      36       0    NULL
148.1958_0A 20070322T221200 20070323T171200  9.68  0.02     116       8      21      -1     -34       0    NULL
148.3000_0A 20070322T234200 20070323T131200  6.04  0.31      74      18      38      -1       3       0    NULL
150.7792_0A 20070325T084200 20070325T164200  5.60   0.2      87      21      -4     -11    -133      -8    NULL
151.6958_0A 20070326T111200 20070327T134200 10.10  0.21     237       8      34       0      15       0    NULL
153.0917_0A 20070327T144200 20070327T194200  9.35 -0.18     251      10     153     -21     -40       0    NULL
156.4424_0A 20070330T093730 20070331T180730 13.82  2.28     273      38     242       7     179       4    NULL
159.6507_0A 20070403T040730 20070403T153730 15.01  0.88     243      17     195       2      49       1    NULL
160.6715_0A 20070404T043730 20070404T070730  4.91  0.08     106      11       7     -11       5      -4    NULL
166.6299_0A 20070410T053730 20070410T133730  4.51  1.18     260      30     173       3     -12      -5    NULL
173.7132_0A 20070417T063730 20070417T153730 12.40  0.01     114       3     206       0       4       0    NULL
175.4007_0A 20070418T010730 20070419T130730 12.50  1.83      95      39     168       3     112       1    NULL
177.6507_0A 20070421T100730 20070422T110730  9.30  2.06      83      36     -17       0      12      -1    NULL
191.7340_0A 20070505T070730 20070505T110730  9.61   1.0      88      15      19     -18     -29     -10    NULL
192.5674_0A 20070506T020730 20070506T083730  3.96  2.46      81      32     333      12    -530     -21    NULL
194.7549_0A 20070508T063730 20070508T120730 10.76  0.22      85      19     232     -40      31       1    NULL
195.6090_0A 20070509T040730 20070509T123730 13.56  1.32      78      52     232       1     161       0    NULL
196.1090_0A 20070509T160730 20070509T210730  5.34  0.73     251      38    -100     -55    -198     -32    NULL
201.1299_0A 20070514T153730 20070515T013730  8.10  0.37      69      31      88       0    -176     -13    NULL
202.2965_0A 20070515T193730 20070516T010730 12.92  5.18      76      72     336       4     312       1    NULL
203.2757_0A 20070516T183730 20070517T013730  0.00  0.64     270       0     520   -7775    -773    -124    NULL
206.7965_0A 20070520T073730 20070520T140730  8.13  0.03     169      51      68     -24     289      -9    NULL
208.0257_0A 20070521T123730 20070521T213730 12.12  1.26      85      57     128      -5      97       2    NULL
209.1507_0A 20070522T160730 20070522T200730 10.83  2.09     249      46     318       0     112       0    NULL
209.6507_0A 20070523T080730 20070523T203730 10.09  0.88      65      27      96       0     -10       0    NULL
209.8382_0A 20070523T080730 20070523T103730 14.33  0.71     256      48    1082     122     516     234    NULL
212.5465_0A 20070526T020730 20070526T060730  7.70  0.18     106       8     237       4     -80      -2 212.5465_0B
215.4840_0A 20070528T060730 20070529T230730  7.09  0.52      93      30      38       0     133       1 215.6090_0Bc
215.6090_0B 20070529T090822 20070529T230730  9.31  1.69      95      30      34       0     -52      -1 215.4840_0Ac
216.5049_0A 20070530T003730 20070530T053730  9.56  1.59      85      35      93     -35     -52     -13 216.5049_0Bc
216.5049_0B 20070530T003822 20070530T053730 11.36  2.75      83      38     210     -15      81      -6 216.5049_0Ac
218.8174_0A 20070601T080730 20070601T123730  5.68  0.28      87      35     111     -30     130     -12 218.8174_0B
219.5049_0A 20070602T003730 20070602T040730  6.22  0.05      98       8    -109     -52     -34      -7 219.5257_0B
220.9215_0A 20070603T100730 20070603T143730  0.00  0.78      80      29     251       0      72      -9 220.9424_0Bc
220.9424_0B 20070603T103823 20070603T150730  8.76  0.02      74      12     252       0     617       0 220.9215_0Ac
221.8799_0A 20070604T153730 20070605T103730 14.71  4.03     248      37     153       2     135       2 222.3590_0Bc
222.3590_0B 20070604T030824 20070605T170730  0.00  0.98     259      17     202      11     170      -3 221.8799_0Ac
225.2757_0A 20070607T200730 20070608T043730  8.52  1.03     247      34     -34      -8       0      -2 225.2965_0B
227.8799_0A 20070610T090730 20070610T153730  8.75 -0.53     114      27     199       3      -9       0 227.9215_0Bc
227.9215_0B 20070610T113826 20070610T160730  9.16 -0.47     110      29     262      17      25       4 227.8799_0Ac
229.6299_0A 20070612T033730 20070612T133730  9.51  1.36      75      42      36      -4      63       4 229.7132_0Bc
229.7132_0B 20070612T063826 20070612T190730  8.31  0.47      71      14    -125      -6    -104      -1 229.6299_0Ac
230.3174_0A 20070612T210730 20070613T023730  7.18  0.28     209      17      66       0     311      13 230.3590_0B
232.0257_0B 20070614T140827 20070614T180730 12.53  0.13     244      21     317       0     108      -4 231.9840_0A
234.9007_0B 20070617T110828 20070617T160730  7.85  0.31     286      18      48     -12       9       1 234.8799_0A
237.1090_0A 20070619T150730 20070619T213730  7.36  1.08     267      40     -78     -15     103       4 237.1299_0B
240.0049_0A 20070622T123730 20070622T183730  9.82  0.46      70      17      59     -12      70       4 240.0257_0Bc
240.0257_0B 20070622T133829 20070622T190730  8.10  0.08      71      13      43     -16     -12     -10 240.0049_0Ac
241.0049_0A 20070623T133730 20070623T193730  8.34  0.72      64      15     -60     -15     -11      -1 241.0465_0B
244.6507_0A 20070627T073729 20070627T223730  9.08  0.65     237      43      53       0       7       0 244.9840_0Bc
244.9840_0B 20070627T153830 20070627T220730  6.00  1.46     243      37     318     -46     119       1 244.6507_0Ac
