20070319_084200 144.8417_0A 0.09 4.14 1513
20070319_091200 144.8417_0A 0.12 5.37 2203
20070319_094200 144.8417_0A 0.13 6.68 3260
20070319_101200 144.8417_0A 0.14 7.67 4633
20070319_104200 144.8417_0A 0.14 8.37 5715
20070319_111200 144.8417_0A 0.15 9.38 6865
20070319_114200 144.8417_0A 0.14 9.49 6435
20070320_154200 146.1125_0A 0.08 4.35 1899
20070320_161200 146.1125_0A 0.13 5.09 3044
20070320_164200 146.1125_0A 0.17 5.84 4136
20070320_171200 146.1125_0A 0.21 7.26 6801
20070320_174200 146.1125_0A 0.24 8.23 9030
20070320_181200 146.1125_0A 0.23 8.49 9530
20070320_184200 146.1125_0A 0.22 8.87 10811
20070320_191200 146.1125_0A 0.21 8.77 11561
20070320_194200 146.1125_0A 0.18 8.78 12122
20070321_051200 146.6125_0A 0.27 4.35 2185
20070321_054200 146.6125_0A 0.35 4.59 2365
20070321_061200 146.6125_0A 0.41 4.80 2541
20070321_064200 146.6125_0A 0.51 5.08 2986
20070321_071200 146.6125_0A 0.61 5.35 3455
20070321_074200 146.6125_0A 0.69 5.71 4081
20070321_081200 146.6125_0A 0.72 6.14 4558
20070321_084200 146.6125_0A 0.81 6.38 5377
20070321_091200 146.6125_0A 0.9 6.49 5856
20070321_094200 146.6125_0A 1.09 6.70 7061
20070321_101200 146.6125_0A 1.2 6.71 7936
20070321_104200 146.6125_0A 1.24 6.58 8120
20070321_111200 146.6125_0A 1.3 6.56 9038
20070321_114200 146.6125_0A 1.32 6.62 9798
20070321_121200 146.6125_0A 1.2 6.67 10280
20070321_124200 146.6125_0A 1.19 6.73 10344
20070321_131200 146.6125_0A 1.25 6.90 11770
20070321_134200 146.6125_0A 1.28 7.00 12669
20070321_141200 146.6125_0A 1.37 7.22 15034
20070321_144200 146.6125_0A 1.45 7.62 17474
20070321_151200 146.6125_0A 1.49 8.24 19686
20070321_154200 146.6125_0A 1.58 8.36 22762
20070321_161200 146.6125_0A 1.56 8.43 23136
20070321_164200 146.6125_0A 1.64 8.78 26563
20070321_171200 146.6125_0A 1.61 9.12 26649
20070321_174200 146.6125_0A 1.71 9.61 30775
