20070529_090730 215.4840_0A 215.6090_0B 20070529_203730 206.54 2.997 6.54 70.00 93.00 -1.03 0.650 -5.360 15.652 6.543 -19.108 -3.50 59.96 96.00 -3.01 1.710 -5.457 10.857 8.449 -16.808 
20070529_090730 215.4840_0A 215.6090_0B 20070529_210730 246.11 0.680 6.54 30.42 93.00 -2.58 0.630 -5.553 6.438 6.647 -7.706 -3.50 20.39 95.50 -5.14 1.820 -5.399 5.756 8.477 -9.039 
20070529_090730 215.4840_0A 215.6090_0B 20070529_213730 244.54 0.668 6.54 32.00 93.00 -2.54 0.610 -5.728 6.752 5.183 -6.109 -3.50 21.96 96.50 -6.00 1.700 -5.604 6.037 8.703 -9.376 
20070529_090730 215.4840_0A 215.6090_0B 20070529_220730 245.26 0.652 6.54 31.27 87.00 2.56 0.600 -5.851 6.844 6.947 -8.125 -3.50 21.23 97.00 -6.49 1.700 -5.716 6.126 8.953 -9.596 
20070529_090730 215.4840_0A 215.6090_0B 20070529_223730 245.54 0.628 6.54 31.00 86.50 3.00 0.580 -5.978 6.971 7.104 -8.284 -3.50 20.96 88.50 1.40 1.670 -5.846 6.260 9.168 -9.817 
20070529_090730 215.4840_0A 215.6090_0B 20070529_230730 248.54 0.550 6.54 28.00 87.00 2.65 0.520 -6.071 6.873 7.092 -8.030 -3.50 17.96 88.50 1.43 1.690 -5.943 6.247 9.306 -9.782 
20070530_003730 216.5049_0A 216.5049_0B 20070530_003730 323.09 2.584 6.60 46.49 95.00 -3.44 1.820 -3.827 5.548 5.588 -8.102 -3.55 56.64 87.00 1.65 1.300 -4.601 8.359 6.503 -11.814 
20070530_003730 216.5049_0A 216.5049_0B 20070530_010730 302.60 1.936 6.60 26.00 91.50 -1.35 1.840 -3.938 4.381 5.285 -5.879 -3.55 36.14 85.50 3.63 1.680 -4.589 5.676 6.503 -8.045 
20070530_003730 216.5049_0A 216.5049_0B 20070530_013730 295.62 2.067 6.60 19.02 89.50 0.47 2.030 -4.383 4.636 6.257 -6.618 -3.55 29.16 84.00 5.22 1.930 -4.809 5.500 6.793 -7.769 
20070530_003730 216.5049_0A 216.5049_0B 20070530_020730 242.60 2.367 6.60 34.00 88.50 1.24 2.110 -4.877 5.882 7.006 -8.450 -3.55 23.86 83.50 5.92 2.290 -5.216 5.697 7.657 -8.364 
